completion_tokens,condition,content_chars,finish_reason,reasoning_chars,run
800,none,0,length,3075,1
143,vllm-key,42,stop,532,1
800,llamacpp-key,0,length,3075,1
143,both-keys,42,stop,532,1
800,none,0,length,3075,2
143,vllm-key,42,stop,532,2
800,llamacpp-key,0,length,3075,2
143,both-keys,42,stop,532,2
800,none,0,length,3075,3
143,vllm-key,42,stop,532,3
800,llamacpp-key,0,length,3075,3
143,both-keys,42,stop,532,3
800,none,0,length,3075,4
143,vllm-key,42,stop,532,4
800,llamacpp-key,0,length,3075,4
143,both-keys,42,stop,532,4
800,none,0,length,3075,5
143,vllm-key,42,stop,532,5
800,llamacpp-key,0,length,3075,5
143,both-keys,42,stop,532,5
