completion_tokens,elapsed_s,finish_reason,prompt_tokens,run,served_model,tokens_per_s
143,1.543,stop,77,1,qwen38-27B-awq,92.7
143,1.378,stop,77,2,qwen38-27B-awq,103.81
143,1.527,stop,77,3,qwen38-27B-awq,93.65
143,1.374,stop,77,4,qwen38-27B-awq,104.06
143,1.382,stop,77,5,qwen38-27B-awq,103.49
143,1.369,stop,77,6,qwen38-27B-awq,104.45
143,1.376,stop,77,7,qwen38-27B-awq,103.91
143,1.701,stop,77,8,qwen38-27B-awq,84.06
143,1.382,stop,77,9,qwen38-27B-awq,103.46
143,4.221,stop,77,10,qwen38-27B-awq,33.88
143,1.38,stop,77,11,qwen38-27B-awq,103.61
143,1.378,stop,77,12,qwen38-27B-awq,103.79
