beat,chars,duplicate_of,has_speech,is_scratchpad,paragraph_breaks,sentences_per_100_words,speaker,starts_mid_sentence,turn,type,words
1,656,None,1,0,2,6.838,c_d5d3342449,0,1,character_prose,117
2,641,None,1,0,2,6.667,c_ce1fa212e6,0,1,character_prose,120
3,599,None,1,0,2,5.983,c_fab3a75f61,0,1,character_prose,117
0,685,None,1,0,2,6.716,c_d5d3342449,0,2,character_prose,134
1,878,None,1,0,3,5.521,c_fab3a75f61,0,2,character_prose,163
3,886,None,1,0,3,7.229,c_ce1fa212e6,0,2,character_prose,166
0,910,None,1,0,3,8.876,c_fab3a75f61,0,3,character_prose,169
2,831,None,1,0,2,6.329,c_ce1fa212e6,0,3,character_prose,158
3,1148,None,1,0,3,5.479,c_d5d3342449,0,3,character_prose,219
4,872,None,1,0,3,7.831,c_ce1fa212e6,0,3,character_prose,166
1,723,None,1,0,2,3.731,c_d5d3342449,0,4,character_prose,134
2,631,None,1,0,2,4.918,c_ce1fa212e6,0,4,character_prose,122
0,785,None,1,0,2,4.11,c_d5d3342449,0,5,character_prose,146
1,678,None,1,0,2,4.762,c_ce1fa212e6,0,5,character_prose,126
2,779,None,1,0,2,3.822,c_fab3a75f61,0,5,character_prose,157
1,789,None,1,0,2,4.286,c_ce1fa212e6,0,6,character_prose,140
2,942,None,1,0,2,3.488,c_d5d3342449,0,6,character_prose,172
4,612,None,1,0,2,5.172,c_fab3a75f61,0,6,character_prose,116
