beat,chars,duplicate_of,has_speech,is_distinct,is_scratchpad,names_the_player,paragraph_breaks,sentences_per_100_words,speaker,starts_mid_sentence,turn,type,words
1,681,None,1,1,0,0,2,7.692,c_2a068aa141,0,1,character_prose,130
2,925,None,1,1,0,0,3,5.78,c_e991613a99,0,1,character_prose,173
3,756,None,1,1,0,0,2,7.285,c_d82379e4aa,0,1,character_prose,151
1,662,None,1,1,0,0,2,7.752,c_2a068aa141,0,2,character_prose,129
2,1120,None,1,1,0,0,3,6.699,c_e991613a99,0,2,character_prose,209
3,1306,None,1,1,0,0,4,8.209,c_d82379e4aa,0,2,character_prose,268
1,1081,None,1,1,0,0,3,6.863,c_2a068aa141,0,3,character_prose,204
2,1377,None,1,1,0,0,4,6.589,c_e991613a99,0,3,character_prose,258
3,1844,None,1,1,0,0,5,5.307,c_d82379e4aa,0,3,character_prose,358
1,1004,None,1,1,0,0,3,7.143,c_e991613a99,0,4,character_prose,196
2,1546,None,1,1,0,0,5,6.0,c_2a068aa141,0,4,character_prose,300
3,1144,None,1,1,0,0,3,6.195,c_e991613a99,0,4,character_prose,226
1,1875,None,1,1,0,0,6,6.162,c_e991613a99,0,5,character_prose,357
2,1347,None,1,1,0,0,4,6.415,c_2a068aa141,0,5,character_prose,265
3,1417,None,1,1,0,0,4,7.011,c_e991613a99,0,5,character_prose,271
4,1769,None,1,1,0,0,6,8.359,c_d82379e4aa,0,5,character_prose,323
1,1591,None,1,1,0,0,5,5.98,c_e991613a99,0,6,character_prose,301
2,1833,None,1,1,0,0,6,6.647,c_d82379e4aa,0,6,character_prose,346
3,1261,None,1,1,0,0,4,5.0,c_2a068aa141,0,6,character_prose,240
