arm,beat,chars,has_speech,is_scratchpad,names_the_player,paragraph_breaks,sentences_per_100_words,starts_mid_sentence,turn,type,words
short,1,416,1,0,0,1,5.405,0,1,character_prose,74
short,2,414,1,0,0,1,8.108,0,1,character_prose,74
short,3,443,1,0,0,1,7.143,0,1,character_prose,84
short,4,505,1,0,0,1,6.316,0,1,character_prose,95
medium,1,764,1,0,0,2,6.207,0,1,character_prose,145
medium,2,1010,1,0,0,3,6.667,0,1,character_prose,195
medium,3,1066,1,0,0,3,6.19,0,1,character_prose,210
long,1,1145,1,0,0,5,7.589,0,1,character_prose,224
long,2,1356,1,0,0,5,6.439,0,1,character_prose,264
short,1,529,1,0,0,1,6.731,0,2,character_prose,104
short,2,333,1,0,0,1,8.955,0,2,character_prose,67
short,3,427,1,0,0,1,7.5,0,2,character_prose,80
short,4,545,1,0,0,1,6.364,0,2,character_prose,110
medium,1,510,1,0,0,2,8.889,0,2,character_prose,90
medium,2,764,1,0,0,2,5.517,0,2,character_prose,145
long,1,1684,1,0,0,5,5.625,0,2,character_prose,320
long,2,1516,1,0,0,5,6.093,0,2,character_prose,279
long,3,1606,1,0,0,5,5.882,0,2,character_prose,306
short,1,500,1,0,0,2,6.452,0,3,character_prose,93
short,2,525,1,0,0,2,6.186,0,3,character_prose,97
short,3,494,1,0,0,1,10.638,0,3,character_prose,94
medium,0,936,1,0,0,2,5.172,0,3,character_prose,174
medium,1,957,1,0,0,3,5.208,0,3,character_prose,192
medium,2,1239,1,0,0,3,4.762,0,3,character_prose,231
long,1,1458,1,0,0,5,6.691,0,3,character_prose,269
long,3,1106,1,0,0,4,8.057,0,3,character_prose,211
long,4,1686,1,0,0,5,4.908,0,3,character_prose,326
short,1,427,1,0,0,1,12.658,0,4,character_prose,79
short,2,675,1,0,0,2,4.839,0,4,character_prose,124
short,3,525,1,0,0,1,6.316,0,4,character_prose,95
medium,1,938,1,0,0,2,4.972,0,4,character_prose,181
medium,2,936,1,0,0,3,4.52,0,4,character_prose,177
medium,3,1152,1,0,0,3,5.479,0,4,character_prose,219
long,1,1663,1,0,0,5,5.901,0,4,character_prose,322
long,2,1659,1,0,0,5,5.247,0,4,character_prose,324
short,0,579,1,0,0,1,4.673,0,5,character_prose,107
short,1,370,1,0,0,1,5.634,0,5,character_prose,71
short,2,2802,1,0,0,9,11.628,0,5,character_prose,473
short,3,446,1,0,0,1,6.329,0,5,character_prose,79
medium,1,1084,1,0,0,2,4.327,0,5,character_prose,208
medium,2,1306,1,0,0,3,4.183,0,5,character_prose,263
medium,3,1103,1,0,0,3,4.739,0,5,character_prose,211
medium,4,973,1,0,0,2,4.839,0,5,character_prose,186
long,1,1749,1,0,0,5,5.723,0,5,character_prose,332
long,2,1703,1,0,0,5,5.28,0,5,character_prose,322
long,3,1598,1,0,0,5,5.161,0,5,character_prose,310
short,1,577,1,0,0,1,5.455,0,6,character_prose,110
short,2,698,1,0,0,2,6.383,0,6,character_prose,141
medium,1,970,1,0,0,3,5.056,0,6,character_prose,178
medium,2,1187,1,0,0,3,4.933,0,6,character_prose,223
long,1,1673,1,0,0,5,5.769,0,6,character_prose,312
long,2,2079,1,0,0,5,4.715,0,6,character_prose,403
