arm,cached_tokens,chars,dialogue_share,elapsed_s,has_speech,interiority_per_1k,is_scratchpad,paragraph_breaks,prompt_tokens,proximity_per_1k,sample,scene,sentences_per_100_words,words
baseline,0,863,0.2329,6.117,1,1.159,0,3,1125,11.587,1,kitchen,5.988,167
prefix,955,311,0.2347,2.483,1,0.0,0,1,1388,9.646,1,kitchen,12.5,56
prefix_signature,1196,561,0.2032,4.685,1,0.0,0,3,1416,7.13,1,kitchen,11.765,102
baseline,692,169,0.2604,2.559,1,0.0,0,1,1113,5.917,1,doorway,10.0,30
prefix,0,326,0.1258,4.691,1,0.0,0,2,1376,6.135,1,doorway,8.065,62
prefix_signature,1184,442,0.1357,3.391,1,4.525,0,3,1404,6.787,1,doorway,8.046,87
baseline,0,459,0.1438,4.835,1,0.0,0,2,1125,6.536,2,kitchen,8.333,84
prefix,955,721,0.1748,4.974,1,1.387,0,3,1388,8.322,2,kitchen,7.353,136
prefix_signature,1196,786,0.1514,4.604,1,2.545,0,3,1416,8.906,2,kitchen,10.0,150
baseline,692,267,0.2022,3.208,1,3.745,0,2,1113,7.491,2,doorway,9.615,52
prefix,0,329,0.152,4.68,1,0.0,0,1,1376,9.119,2,doorway,8.197,61
prefix_signature,1184,244,0.209,2.097,1,0.0,0,2,1404,4.098,2,doorway,8.511,47
baseline,0,791,0.1656,6.343,1,1.264,0,3,1125,10.114,3,kitchen,6.081,148
prefix,955,740,0.2324,5.492,1,1.351,0,3,1388,5.405,3,kitchen,7.914,139
prefix_signature,1196,755,0.2305,5.003,1,2.649,0,3,1416,7.947,3,kitchen,11.679,137
baseline,692,468,0.0812,3.806,1,2.137,0,2,1113,6.41,3,doorway,8.333,96
prefix,955,392,0.2449,3.965,1,2.551,0,2,1376,5.102,3,doorway,7.895,76
prefix_signature,1184,281,0.1815,2.806,1,0.0,0,2,1404,14.235,3,doorway,7.407,54
